"Plot Title:  10570397"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","DewPt, °C (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
1,07/25/19 07:16:43 pm,29.115,56.333,19.850,,,,,
2,07/25/19 07:16:44 pm,29.115,56.396,19.868,,,,,
3,07/25/19 07:16:45 pm,29.115,56.428,19.877,,,,,
4,07/25/19 07:16:46 pm,29.115,56.428,19.877,,,,,
5,07/25/19 07:16:47 pm,29.115,56.428,19.877,,,,,
6,07/25/19 07:16:48 pm,29.115,56.459,19.886,,,,,
7,07/25/19 07:16:49 pm,29.115,56.459,19.886,,,,,
8,07/25/19 07:16:50 pm,29.140,56.526,19.927,,,,,
9,07/25/19 07:16:51 pm,29.140,56.526,19.927,,,,,
10,07/25/19 07:16:52 pm,29.140,56.558,19.936,,,,,
11,07/25/19 07:16:53 pm,29.140,56.558,19.936,,,,,
12,07/25/19 07:16:54 pm,29.140,56.526,19.927,,,,,
13,07/25/19 07:16:55 pm,29.140,56.526,19.927,,,,,
14,07/25/19 07:16:56 pm,29.140,56.526,19.927,,,,,
15,07/25/19 07:16:57 pm,29.140,56.463,19.910,,,,,
16,07/25/19 07:16:58 pm,29.140,56.463,19.910,,,,,
17,07/25/19 07:16:59 pm,29.140,56.400,19.892,,,,,
18,07/25/19 07:17:00 pm,29.140,56.368,19.883,,,,,
19,07/25/19 07:17:01 pm,29.140,56.305,19.866,,,,,
20,07/25/19 07:17:02 pm,29.140,56.273,19.857,Logged,,,,
21,07/25/19 07:17:03 pm,29.140,56.273,19.857,,,,,
22,07/25/19 07:17:04 pm,29.165,56.372,19.908,,,,,
23,07/25/19 07:17:05 pm,29.165,56.530,19.952,,,,,
24,07/25/19 07:17:06 pm,29.165,56.656,19.987,,,,,
25,07/25/19 07:17:07 pm,29.165,56.814,20.031,,,,,
26,07/25/19 07:17:08 pm,29.165,56.940,20.065,,,,,
27,07/25/19 07:17:09 pm,29.190,57.007,20.107,,,,,
28,07/25/19 07:17:10 pm,29.190,57.102,20.133,,,,,
29,07/25/19 07:17:11 pm,29.190,57.102,20.133,,,,,
30,07/25/19 07:17:12 pm,29.190,57.165,20.151,,,,,
31,07/25/19 07:17:13 pm,29.190,57.102,20.133,,,,,
32,07/25/19 07:17:14 pm,29.215,56.979,20.123,,,,,
33,07/25/19 07:17:15 pm,29.215,56.948,20.114,,,,,
34,07/25/19 07:17:16 pm,29.215,56.916,20.105,,,,,
35,07/25/19 07:17:17 pm,29.240,56.888,20.121,,,,,
36,07/25/19 07:17:18 pm,29.240,56.793,20.095,,,,,
37,07/25/19 07:17:19 pm,29.240,56.730,20.077,,,,,
38,07/25/19 07:17:20 pm,29.240,56.572,20.033,,,,,
39,07/25/19 07:17:21 pm,29.240,56.446,19.998,,,,,
40,07/25/19 07:17:22 pm,29.240,56.288,19.954,,,,,
41,07/25/19 07:17:23 pm,29.265,56.165,19.943,,,,,
42,07/25/19 07:17:24 pm,29.265,56.102,19.925,,,,,
43,07/25/19 07:17:25 pm,29.265,56.102,19.925,,,,,
44,07/25/19 07:17:26 pm,29.265,56.070,19.916,,,,,
45,07/25/19 07:17:27 pm,29.290,56.042,19.932,,,,,
46,07/25/19 07:17:28 pm,29.290,56.042,19.932,,,,,
47,07/25/19 07:17:29 pm,29.290,56.042,19.932,,,,,
48,07/25/19 07:17:30 pm,29.290,55.979,19.914,,,,,
49,07/25/19 07:17:31 pm,29.290,55.916,19.896,,,,,
50,07/25/19 07:17:32 pm,29.290,55.852,19.878,,,,,
51,07/25/19 07:17:33 pm,29.290,55.852,19.878,,,,,
52,07/25/19 07:17:34 pm,29.290,55.884,19.887,,,,,
53,07/25/19 07:17:35 pm,29.290,55.979,19.914,,,,,
54,07/25/19 07:17:36 pm,29.290,56.232,19.985,,,,,
55,07/25/19 07:17:37 pm,29.290,56.422,20.038,,,,,
56,07/25/19 07:17:38 pm,29.315,56.489,20.080,,,,,
57,07/25/19 07:17:39 pm,29.315,56.489,20.080,,,,,
58,07/25/19 07:17:40 pm,29.315,56.425,20.062,,,,,
59,07/25/19 07:17:41 pm,29.315,56.362,20.045,,,,,
60,07/25/19 07:17:42 pm,29.315,56.299,20.027,,,,,
61,07/25/19 07:17:43 pm,29.315,56.172,19.992,,,,,
62,07/25/19 07:17:44 pm,29.315,56.109,19.974,,,,,
63,07/25/19 07:17:45 pm,29.315,56.046,19.956,,,,,
64,07/25/19 07:17:46 pm,29.315,55.951,19.929,,,,,
65,07/25/19 07:17:47 pm,29.315,55.856,19.903,,,,,
66,07/25/19 07:17:48 pm,29.315,55.824,19.894,,,,,
67,07/25/19 07:17:49 pm,29.315,55.792,19.885,,,,,
68,07/25/19 07:17:50 pm,29.315,55.729,19.867,,,,,
69,07/25/19 07:17:51 pm,29.290,55.725,19.843,,,,,
70,07/25/19 07:17:52 pm,29.290,55.662,19.825,,,,,
71,07/25/19 07:17:53 pm,29.290,55.599,19.807,,,,,
72,07/25/19 07:17:54 pm,29.290,55.567,19.798,,,,,
73,07/25/19 07:17:55 pm,29.290,55.535,19.789,,,,,
74,07/25/19 07:17:56 pm,29.290,55.567,19.798,,,,,
75,07/25/19 07:17:57 pm,29.290,55.599,19.807,,,,,
76,07/25/19 07:17:58 pm,29.290,55.662,19.825,,,,,
77,07/25/19 07:17:59 pm,29.290,55.662,19.825,,,,,
78,07/25/19 07:18:00 pm,29.290,55.694,19.834,,,,,
79,07/25/19 07:18:01 pm,29.290,55.694,19.834,,,,,
80,07/25/19 07:18:02 pm,29.290,55.694,19.834,,,,,
81,07/25/19 07:18:03 pm,29.290,55.630,19.816,,,,,
82,07/25/19 07:18:04 pm,29.290,55.599,19.807,,,,,
83,07/25/19 07:18:05 pm,29.290,55.567,19.798,,,,,
84,07/25/19 07:18:06 pm,29.290,55.535,19.789,,,,,
85,07/25/19 07:18:07 pm,29.290,55.504,19.780,,,,,
86,07/25/19 07:18:08 pm,29.290,55.472,19.771,,,,,
87,07/25/19 07:18:09 pm,29.290,55.440,19.762,,,,,
88,07/25/19 07:18:10 pm,29.290,55.408,19.753,,,,,
89,07/25/19 07:18:11 pm,29.290,55.377,19.744,,,,,
