"Plot Title:  16_12_2020"
"#","Date Time, GMT+00:00","Temp, °F (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
1,12/16/20 06:58:56 pm,75.204,50.840,,,,,
2,12/16/20 06:58:57 pm,75.204,50.840,,,,,
3,12/16/20 06:58:58 pm,75.204,50.840,,,,,
4,12/16/20 06:58:59 pm,75.204,50.808,,,,,
5,12/16/20 06:59:00 pm,75.204,50.808,,,,,
6,12/16/20 06:59:01 pm,75.204,50.808,,,,,
7,12/16/20 06:59:02 pm,75.204,50.808,,,,,
8,12/16/20 06:59:03 pm,75.204,50.776,,,,,
9,12/16/20 06:59:04 pm,75.204,50.776,,,,,
10,12/16/20 06:59:05 pm,75.204,50.776,,,,,
11,12/16/20 06:59:06 pm,75.204,50.776,,,,,
12,12/16/20 06:59:07 pm,75.204,50.776,,,,,
13,12/16/20 06:59:08 pm,75.204,50.745,Logged,,,,
14,12/16/20 06:59:09 pm,75.204,50.745,,,,,
15,12/16/20 06:59:10 pm,75.204,50.745,,,,,
16,12/16/20 06:59:11 pm,75.204,50.745,,,,,
17,12/16/20 06:59:12 pm,75.204,50.713,,,,,
18,12/16/20 06:59:13 pm,75.204,50.713,,,,,
19,12/16/20 06:59:14 pm,75.160,50.710,,,,,
20,12/16/20 06:59:15 pm,75.160,50.710,,,,,
21,12/16/20 06:59:16 pm,75.160,50.710,,,,,
22,12/16/20 06:59:17 pm,75.117,50.675,,,,,
23,12/16/20 06:59:18 pm,75.117,50.675,,,,,
24,12/16/20 06:59:19 pm,75.074,50.640,,,,,
25,12/16/20 06:59:20 pm,75.029,50.573,,,,,
26,12/16/20 06:59:21 pm,74.986,50.475,,,,,
27,12/16/20 06:59:22 pm,74.943,50.408,,,,,
28,12/16/20 06:59:23 pm,74.899,50.278,,,,,
29,12/16/20 06:59:24 pm,74.856,50.212,,,,,
30,12/16/20 06:59:25 pm,74.813,50.145,,,,,
31,12/16/20 06:59:26 pm,74.770,50.078,,,,,
32,12/16/20 06:59:27 pm,74.770,50.015,,,,,
33,12/16/20 06:59:28 pm,74.727,49.948,,,,,
34,12/16/20 06:59:29 pm,74.683,49.913,,,,,
35,12/16/20 06:59:30 pm,74.640,49.878,,,,,
36,12/16/20 06:59:31 pm,74.640,49.815,,,,,
37,12/16/20 06:59:32 pm,74.597,49.780,,,,,
38,12/16/20 06:59:33 pm,74.554,49.745,,,,,
39,12/16/20 06:59:34 pm,74.554,49.745,,,,,
40,12/16/20 06:59:35 pm,74.511,49.742,,,,,
41,12/16/20 06:59:36 pm,74.467,49.707,,,,,
42,12/16/20 06:59:37 pm,74.467,49.675,,,,,
43,12/16/20 06:59:38 pm,74.424,49.672,,,,,
44,12/16/20 06:59:39 pm,74.424,49.672,,,,,
45,12/16/20 06:59:40 pm,74.381,49.669,,,,,
46,12/16/20 06:59:41 pm,74.338,49.666,,,,,
47,12/16/20 06:59:42 pm,74.338,49.698,,,,,
48,12/16/20 06:59:43 pm,74.295,49.694,,,,,
49,12/16/20 06:59:44 pm,74.250,49.691,,,,,
50,12/16/20 06:59:45 pm,74.250,49.723,,,,,
